epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,559.799,0.5892,0.46365,0.81865,0.97766,0.99187,0.99314,0.84555,0.64593,0.46405,0.82959,0.000325526,0.000325526,0.000325526
80,566.985,0.59719,0.45637,0.81559,0.978,0.99187,0.99332,0.84397,0.6463,0.46712,0.8277,0.000311379,0.000311379,0.000311379
81,573.96,0.57948,0.45596,0.82042,0.9784,0.99187,0.99356,0.8431,0.64036,0.46384,0.82965,0.000297232,0.000297232,0.000297232
82,580.862,0.58324,0.45735,0.82582,0.97852,0.99078,0.99356,0.84511,0.64449,0.45935,0.83125,0.000283085,0.000283085,0.000283085
83,587.925,0.58185,0.44972,0.82403,0.97527,0.99187,0.99356,0.84464,0.64505,0.46014,0.83036,0.000268938,0.000268938,0.000268938
84,595.065,0.58507,0.44266,0.82134,0.98632,0.98253,0.99356,0.84472,0.64074,0.45849,0.82747,0.000254791,0.000254791,0.000254791
85,601.962,0.57496,0.44537,0.81596,0.98636,0.98128,0.99381,0.84497,0.6325,0.45568,0.82656,0.000240644,0.000240644,0.000240644
86,608.96,0.58711,0.44944,0.83209,0.98629,0.9825,0.99381,0.85154,0.62665,0.45038,0.82583,0.000226497,0.000226497,0.000226497
87,616.244,0.56517,0.42993,0.8035,0.98266,0.98374,0.99381,0.84387,0.6238,0.44636,0.82519,0.000212349,0.000212349,0.000212349
88,623.546,0.53261,0.42227,0.81443,0.98234,0.98374,0.99381,0.84525,0.64571,0.44348,0.82999,0.000198202,0.000198202,0.000198202
89,630.699,0.55378,0.41943,0.81043,0.98364,0.98374,0.99381,0.84001,0.65252,0.44262,0.83256,0.000184055,0.000184055,0.000184055
90,637.848,0.60029,0.43862,0.81308,0.98449,0.98009,0.99398,0.8378,0.65013,0.44336,0.83312,0.000169908,0.000169908,0.000169908
